[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\rh\funcionarios\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\rh\presencas\horas_extras_lista.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\rh\presencas\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\rh\promocoes\main.html
[2025-10-23 12:26:08] [INFO] Sem filtros para migrar: templates\rh\relatorios\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\rh\salarios\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\rh\transferencias\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\rh\treinamentos\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\rh\salarios\beneficios\main.html
[2025-10-23 12:26:08] [INFO] Filtros já unificados: templates\rh\salarios\descontos\main.html
[2025-10-23 12:26:08] [INFO] Sem filtros para migrar: templates\rh\avaliacoes\criterios\main.html
[2025-10-23 12:26:08] [INFO] Sem filtros para migrar: templates\admin\empresa\sucursal\change_list.html
[2025-10-23 12:26:08] [INFO] === VERIFICAÇÃO PÓS-MIGRAÇÃO ===
[2025-10-23 12:26:08] [INFO] Templates com filtros unificados: 36
[2025-10-23 12:26:08] [INFO] Templates com filtros antigos: 0
[2025-10-23 12:26:08] [INFO] === RELATÓRIO FINAL ===
[2025-10-23 12:26:08] [INFO] Total de templates encontrados: 254
[2025-10-23 12:26:08] [INFO] Filtros migrados: 0
[2025-10-23 12:26:08] [INFO] Filtros já unificados: 36
[2025-10-23 12:26:08] [INFO] Backups criados: 0
[2025-10-23 12:26:08] [INFO] Templates pulados: 218
[2025-10-23 12:26:08] [INFO] Erros encontrados: 0
[2025-10-23 12:26:08] [INFO] Templates com filtros unificados: 36
[2025-10-23 12:26:08] [INFO] Templates com filtros antigos: 0
[2025-10-23 12:26:08] [SUCCESS] MIGRAÇÃO DE FILTROS CONCLUÍDA COM SUCESSO!
